geneId	readCount	Coverage	FPKM	TPM
YALI0_C06622g	138	5.495283	5.196127	4.955654
YALI0_B15906g	1819	42.532784	40.217358	38.356125
YALI0_D11220g	3336	100.892052	95.399628	90.984596
YALI0_D01958g	7	0.474419	0.448592	0.427832
YALI0_F22561g	723	61.389999	58.048016	55.361591
ENSRNA049671143	239	66.796700	63.160381	60.237362
YALI0_E12573g	2008	81.628380	77.184647	73.612587
EFYLIG00000000482	1	0.177083	0.167443	0.159694
YALI0_D06083g	3357	170.846313	161.545670	154.069458
YALI0_A14113r	0	0.000000	0.000000	0.000000
YALI0_F04620g	5268	394.512482	373.035767	355.771942
YALI0_E04246g	68	2.761218	2.610901	2.490070
YALI0_F03597g	357	17.871189	16.898308	16.116264
YALI0_B17996g	6872	124.804489	118.010307	112.548866
YALI0_F00528g	7898	794.463501	751.213989	716.448303
YALI0_E16973g	2508	109.293159	103.343391	98.560730
YALI0_B07777g	0	0.0	0.0	0.0
YALI0_B16500g	16014	526.547424	497.882904	474.841248
ENSRNA049652917	0	0.0	0.0	0.0
YALI0_B09515g	3076	112.673851	106.540039	101.609444
YALI0_F26961g	15	0.735772	0.695718	0.663520
YALI0_B05830g	317	43.005333	40.664185	38.782272
YALI0_F03245g	1318	17.209192	16.272348	15.519275
YALI0_E01782g	1667	46.760727	44.215137	42.168892
YALI0_D07040g	2706	78.743149	74.456482	71.010689
YALI0_F03751g	6	0.161179	0.152405	0.145351
YALI0_E04675g	1343	48.559574	45.916058	43.791096
YALI0_F24189g	49	2.198391	2.078714	1.982512
YALI0_E32769g	2186	72.143044	68.215675	65.058701
YALI0_E30921g	151	5.996088	5.669669	5.407281
YALI0_C19943g	17	0.807512	0.763552	0.728216
YALI0_A00369g	25	1.561006	1.476027	1.407717
YALI0_D15444g	1085	18.392216	17.390968	16.586126
YALI0_E33429g	1713	44.721966	42.287365	40.330334
YALI0_E25872g	595	33.233551	31.424364	29.970066
YALI0_D07326g	1394	30.962526	29.276970	27.922050
ENSRNA049673275	13	4.176872	3.949489	3.766709
YALI0_C00451g	6487	191.452545	181.030136	172.652191
ENSRNA049670550	0	0.0	0.0	0.0
YALI0_D21406g	115	6.576271	6.218268	5.930491
YALI0_B10087g	16	0.575486	0.544157	0.518974
YALI0_B10560g	1142	31.802185	30.070919	28.679258
YALI0_B03652g	3545	242.025436	228.849899	218.258896
EFYLIG00000000556	0	0.0	0.0	0.0
YALI0_B11902g	32	0.697475	0.659505	0.628984
YALI0_F21945g	895	18.852127	17.825844	17.000877
YALI0_A16489g	334	18.216505	17.224825	16.427671
YALI0_C18832r	1	0.428571	0.405240	0.386486
YALI0_E22627g	308	22.829695	21.586878	20.587851
YALI0_F12771g	590	26.942652	25.475931	24.296923
YALI0_D08514g	1990	142.721512	134.951950	128.706467
YALI0_F31977g	615	8.034589	7.597197	7.245604
YALI0_D27280g	1405	39.011436	36.887707	35.180569
YALI0_D10659g	4434	193.410614	195.496796	186.449341
YALI0_E26455g	20719	2515.802490	2378.845703	2268.754150
EFYLIG00000000307	1	0.163978	0.155051	0.147876
YALI0_C07953g	41380	997.809448	943.490112	899.826050
YALI0_B18759g	2153	17.824972	16.854607	16.074585
YALI0_F02695g	900	38.418762	36.327301	34.646099
YALI0_E10439g	702	33.012928	31.215752	29.771107
YALI0_D03888g	406	2.999274	2.851076	2.719130
YALI0_E32175g	571	60.620834	57.320721	54.667957
YALI0_E21714r	0	0.0	0.0	0.0
YALI0_C20691g	190	6.288499	5.946162	5.670978
YALI0_B18964g	9503	172.769333	163.364014	155.803635
YALI0_A02266g	572	11.085616	10.482131	9.997025
ENSRNA049650865	0	0.0	0.0	0.0
YALI0_F16467g	1619	45.869446	43.372375	41.365131
YALI0_A08327g	0	0.0	0.0	0.0
YALI0_F02057g	1084	23.179035	21.917200	20.902889
YALI0_E20647g	1342	55.884804	52.842514	50.396999
YALI0_E32351g	498	26.428123	24.989412	23.832920
YALI0_C09350g	512	49.365536	46.678146	44.517914
YALI0_A08734g	205	7.756496	7.334243	6.994820
YALI0_F19096g	1262	23.970205	22.665300	21.616367
YALI0_A02717g	779	41.383335	39.130482	37.319553
YALI0_F06358g	719	22.216364	21.006937	20.034750
YALI0_B03850g	163	5.549766	5.247644	5.004787
YALI0_C07744g	112	3.544944	3.351962	3.196836
ENSRNA049654159	1	0.054624	0.051650	0.049260
YALI0_A14784g	4232	433.309235	409.720459	390.758911
YALI0_E35024g	2390	330.252045	312.273590	297.821777
YALI0_F25773g	8	0.293478	0.277501	0.264659
YALI0_A20570g	672	36.034698	34.073021	32.496143
YALI0_D09427g	11754	618.616089	584.939453	557.868896
YALI0_A17710r	0	0.0	0.0	0.0
YALI0_B14267g	4322	293.841339	277.845032	264.986542
YALI0_E00506g	2068	36.543659	34.554276	32.955128
YALI0_E09262g	579	23.413492	22.138893	21.114321
YALI0_E30723g	503	17.326572	16.383337	15.625128
YALI0_A13915g	0	0.0	0.0	0.0
YALI0_B05632g	484	15.796154	14.936234	14.244995
YALI0_E28402g	35	0.819695	0.775072	0.739202
YALI0_A11803g	4	0.157895	0.149299	0.142390
YALI0_E20119g	1794	167.534805	158.414444	151.083130
YALI0_D18359g	620	20.524366	19.407047	18.508904
YALI0_B01224g	5317	64.239044	60.741959	57.930862
EFYLIG00000000311	0	0.0	0.0	0.0
YALI0_F15477g	1193	61.451515	58.106178	55.417068
YALI0_E31031g	794	36.366577	34.386833	32.795433
YALI0_F26147g	2463	173.687408	164.232101	156.631561
YALI0_B22308g	5463	173.561371	164.112930	156.517899
YALI0_B01980g	218	8.301872	7.849930	7.486641
YALI0_F30107g	1918	137.521805	130.035309	124.017365
YALI0_B12870g	161	6.757426	6.389561	6.093857
YALI0_F17028g	559	21.463047	20.294628	19.355408
YALI0_F00814g	217	28.705729	27.143028	25.886868
YALI0_E09933g	4063	84.122208	79.542709	75.861526
YALI0_D03179g	2571	34.921909	37.532986	35.795986
YALI0_E19426g	48	3.259109	3.081688	2.939069
YALI0_A01602g	110	2.954305	2.793477	2.664196
YALI0_E14993g	244	11.452118	10.828681	10.327537
YALI0_C06820g	12274	573.217041	542.011902	516.927979
YALI0_F26763g	69	0.971255	0.918381	0.875879
YALI0_F03619g	62	2.130612	2.014624	1.921389
YALI0_D24563g	240	19.350788	18.297358	17.450569
YALI0_D21098g	114	4.835000	4.571789	4.360210
YALI0_E31449g	3459	125.897926	119.044220	113.534935
YALI0_C11858g	366	8.142234	7.698982	7.342679
YALI0_D26345g	524	25.947521	24.534975	23.399513
YALI0_E04268g	1386	59.923664	56.661503	54.039249
YALI0_A20966g	559	69.272507	65.501411	62.470047
YALI0_E05533g	9118	394.380829	372.911285	355.653198
EFYLIG00000000238	1	0.041360	0.039108	0.037299
ENSRNA049671322	1	0.076750	0.072572	0.069213
YALI0_A03443g	2958	82.952148	78.436348	74.806374
YALI0_C19536r	1	0.118256	0.111818	0.106643
YALI0_C05236g	24	2.396078	2.265639	2.160787
YALI0_A00220r	0	0.0	0.0	0.0
YALI0_B20878g	1917	109.346756	103.394073	98.609062
YALI0_F16049g	606	32.880726	31.090746	29.651886
YALI0_A04576r	1	0.090959	0.086007	0.082027
YALI0_B10274g	270	27.802021	26.288519	25.071903
YALI0_F29843g	2038	46.130936	43.619629	41.600945
YALI0_F31020g	284	33.504631	31.680685	30.214525
YALI0_B01430g	130	4.102231	3.878911	3.699398
EFYLIG00000000398	1	0.019900	0.018817	0.017946
ENSRNA049672426	0	0.000000	0.000000	0.000000
YALI0_C05423r	0	0.000000	0.000000	0.000000
YALI0_D12496g	1300	49.540359	46.843449	44.675568
YALI0_D11286g	71	5.578295	5.274621	5.030515
YALI0_C11055g	894	70.333336	66.504486	63.426704
YALI0_E21472g	642	70.404305	66.571587	63.490704
YALI0_F04686g	2341	35.028461	33.121559	31.588717
YALI0_F10879r	1	0.137838	0.130334	0.124303
YALI0_D06369g	10	0.491005	0.464275	0.442789
YALI0_D21802g	887	11.751104	11.111391	10.597163
YALI0_D12727g	430	11.727127	11.088719	10.575541
ENSRNA049669801	2	0.561832	0.531247	0.506661
YALI0_C12166g	0	0.000000	0.000000	0.000000
YALI0_C10648g	3063	22.080435	20.878407	19.912169
YALI0_F04488r	0	0.0	0.0	0.0
YALI0_D22847g	1095	45.179615	42.720097	40.743042
YALI0_D13090g	1233	72.252876	68.319527	65.157753
YALI0_E15268g	2125	204.082855	192.972870	184.042206
YALI0_A20174g	585	12.398252	11.723309	11.180761
YALI0_F30426g	2181	223.339355	211.181061	201.407761
YALI0_B16610g	2663	141.442703	133.742752	127.553238
YALI0_A14069g	0	0.0	0.0	0.0
YALI0_C12815r	0	0.0	0.0	0.0
YALI0_F02453g	3118	122.400307	115.737007	110.380775
YALI0_F11539g	127	5.320988	5.031321	4.798475
YALI0_F14927g	2110	45.344711	42.876209	40.891926
YALI0_E19382g	737	19.420671	18.363438	17.513590
YALI0_C23012r	0	0.0	0.0	0.0
YALI0_B05126g	15262	495.135498	468.181000	446.513916
YALI0_E11913g	1116	45.042755	42.590691	40.619621
YALI0_B20834g	6313	102.112274	96.553421	92.084999
YALI0_E19140g	3	0.201149	0.190199	0.181396
YALI0_F07084g	3997	29.326139	27.729666	26.446356
YALI0_E08316g	1543	29.768444	28.147892	26.845226
YALI0_B06941g	1415	98.547813	93.183006	88.870567
YALI0_F13893r	0	0.0	0.0	0.0
YALI0_E08338g	1538	17.127785	16.195372	15.445861
YALI0_A09658g	6446	188.269180	178.020065	169.781418
YALI0_F00792g	288	11.919512	11.270630	10.749033
YALI0_D17072g	1736	159.426132	176.153122	168.000885
YALI0_F31229g	2538	79.143120	74.834679	71.371384
YALI0_C05489g	3328	114.040993	107.832764	102.842331
YALI0_B01254g	268	24.040564	22.731829	21.679815
YALI0_B00704g	9970	791.947021	748.834534	714.178955
YALI0_D25806g	526	22.846548	21.602814	20.603050
YALI0_C10736g	536	35.963108	34.005329	32.431583
EFYLIG00000000084	0	0.0	0.0	0.0
YALI0_D23749g	410	9.481607	8.965442	8.550527
YALI0_C05599g	916	32.090038	30.343102	28.938843
YALI0_D05379g	5919	86.439278	82.100700	78.301140
YALI0_F01969g	890	18.662964	17.646978	16.830288
YALI0_F18766g	11958	836.519897	790.980957	754.374817
ENSRNA049658956	0	0.0	0.0	0.0
YALI0_B16104g	2407	77.491791	73.273247	69.882210
YALI0_E32131g	2065	62.796066	59.377537	56.629585
YALI0_C14190g	8314	214.462830	202.787766	193.402893
YALI0_E15081g	7141	148.400970	140.322220	133.828217
YALI0_F22693g	5377	253.169891	239.387680	228.308975
YALI0_D05247g	359	25.206612	23.834398	22.731359
YALI0_D06633g	215	10.707843	10.124923	9.656348
YALI0_E28919g	612	34.646667	32.760551	31.244415
EFYLIG00000000461	56	33.735558	31.899040	30.422773
YALI0_E18282g	639	33.175331	31.369312	29.917562
YALI0_F28435g	917	30.426432	28.770060	27.438601
YALI0_E27181g	37	0.901790	0.852698	0.813236
YALI0_E20361g	1286	52.151154	49.312115	47.029984
EFYLIG00000000146	3	1.180209	1.115960	1.064314
YALI0_E16665g	466	31.148294	29.452625	28.089577
YALI0_B20526g	4	0.129771	0.122706	0.117028
YALI0_C22836g	161	40.761192	38.542210	36.758503
YALI0_A07271r	1	0.143662	0.135841	0.129555
YALI0_F10373g	204	6.913333	6.536981	6.234454
YALI0_C13794g	1695	77.018715	72.825928	69.455589
