geneId	readCount	Coverage	FPKM	TPM
KLLA0_E20175g	3098	492.080994	337.370544	292.508423
KLLA0_F04279g	3329	116.920113	80.160393	69.500992
KLLA0_C12111g	3929	192.487030	131.969040	114.420341
KLLA0_E13817g	1907	36.424343	24.972517	21.651775
ENSRNAG049935361	2	1.177083	0.807008	0.699695
KLLA0_C07513g	905	34.947727	23.960150	20.774029
KLLA0_B09812g	3060	149.896255	102.768814	89.103050
KLLA0_B07931g	12184	1581.123413	1084.017578	939.869568
KLLA0_C14564g	679	69.477913	47.634033	41.299858
KLLA0_F06897g	1273	35.402618	24.272022	21.044432
KLLA0_D09416g	477	40.919193	28.054184	24.323656
KLLA0_C09108g	2355	191.521530	131.307098	113.846428
KLLA0_B03938g	2821	39.042889	26.767790	23.208321
KLLA0_E03631g	1927	80.285133	55.043457	47.724010
KLLA0_F05005g	8397	268.799133	184.288589	159.782669
KLLA0_D18161g	713	27.775856	19.043118	16.510843
KLLA0_E16039g	10618	658.753052	451.640869	391.583527
KLLA0_F17303r	0	0.000000	0.000000	0.000000
KLLA0_D11242g	16723	531.356995	364.298187	315.855316
KLLA0_C15301g	1256	30.457441	20.881611	18.104862
KLLA0_C16027g	499	44.800705	30.715347	26.630949
KLLA0_C05016g	2624	278.787506	191.136597	165.720078
KLLA0_D14465r	1	0.486111	0.333278	0.288960
KLLA0_E18811g	1762	66.973900	45.917282	39.811394
KLLA0_F11209g	1197	46.224998	31.691843	27.477594
KLLA0_F10703g	1244	50.590908	34.685108	30.072828
KLLA0_F14399g	1974	41.218674	28.259508	24.501677
KLLA0_F12276g	1706	68.857483	47.208664	40.931053
KLLA0_F11726g	3023	69.446396	47.612423	41.281120
KLLA0_F13046g	798	9.830194	6.739578	5.843377
KLLA0_F18524g	3796	180.246735	123.577103	107.144333
KLLA0_D18348g	2927	210.836151	144.549179	125.327637
KLLA0_D11550g	1922	243.828354	167.168640	144.939240
KLLA0_F20812g	3336	102.721016	70.425491	61.060604
KLLA0_D02332g	24	2.495885	1.711178	1.483633
KLLA0_E06447g	3393	49.629089	34.025684	29.501091
KLLA0_F15015g	2623	166.351990	114.050865	98.884857
KLLA0_B13189g	21328	750.656311	514.649658	446.213745
KLLA0_A08162g	1277	47.392284	32.492134	28.171465
KLLA0_E23937g	4316	130.555145	89.508560	77.606087
KLLA0_D01331g	1342	73.830635	50.618259	43.887253
KLLA0_E22243g	1626	29.656294	20.332344	17.628633
KLLA0_F08723g	10052	391.014496	268.079376	232.431320
KLLA0_E03807g	819	18.877432	12.942361	11.221339
KLLA0_F16555g	22859	1326.262817	909.285278	788.372314
KLLA0_D10417g	4310	1127.082153	772.727112	669.973083
KLLA0_A10725r	0	0.000000	0.000000	0.000000
KLLA0_D02684g	2462	208.162521	142.716156	123.738358
KLLA0_C02101g	3432	169.094681	115.931252	100.515205
KLLA0_F25806g	1731	23.625168	16.197407	14.043543
KLLA0_A02915g	7709	515.889771	353.693848	306.661102
KLLA0_E02619g	908	192.783340	132.172180	114.596489
KLLA0_E21297g	3329	113.155998	77.579712	67.263489
KLLA0_F25410g	1312	45.697403	31.330124	27.163975
KLLA0_E20351g	1211	29.475645	20.208492	17.521252
KLLA0_D13376g	2258	57.802711	39.629517	34.359753
KLLA0_A08558r	2	1.357381	0.930620	0.806870
KLLA0_E08801g	3423	75.366577	51.671299	44.800266
KLLA0_B03179g	1393	23.623087	16.195980	14.042306
KLLA0_B07293r	1	0.057545	0.039453	0.034207
KLLA0_C10340g	2324	72.886841	49.971191	43.326233
KLLA0_C04554g	974	29.301476	20.089081	17.417719
KLLA0_E07041g	362	31.982639	21.927286	19.011488
ENSRNAG049935463	13	4.978104	3.412987	2.959142
KLLA0_D08712g	9482	230.254303	157.862259	136.870407
KLLA0_A06149g	5554	720.671753	494.092285	428.389954
KLLA0_B13838g	1306	27.025984	18.529005	16.065096
KLLA0_F01078g	6410	95.328087	65.356903	56.666016
